host_id,host_name,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value
14766787,Patricia,Brooklyn,NY,11207,United States,40.69133688,-73.90579996,Apartment,Private room,2,1,1,1,Real Bed,,$50.00 ,225,0,,,,
1429642,Delia,New York,NY,10035,United States,40.79793032,-73.93611952,Apartment,Private room,1,1,1,1,Real Bed,,$200.00 ,365,0,,,,
17057882,Wanmeng,New York,NY,10003,United States,40.73263325,-73.98973632,Apartment,Private room,1,1,1,1,Real Bed,,$88.00 ,243,0,,,,
13753825,Brigitte,New York,NY,10014,United States,40.73352624,-74.0047484,Apartment,Entire home/apt,2,1,1,2,Real Bed,,$160.00 ,187,3,93,10,10,10
2316922,Nat,Brooklyn,NY,11215,United States,40.66413014,-73.97803073,Apartment,Private room,2,1,1,1,Real Bed,,$85.00 ,354,11,96,10,10,9
573909,Kathryn And Chloe,Brooklyn,NY,11206,United States,40.69277714,-73.93697204,Apartment,Private room,1,1,1,1,Real Bed,,$70.00 ,14,48,92,10,8,9
1684592,Edwin,New York,NY,10013,United States,40.71605239,-74.00523428,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$170.00 ,176,29,96,9,10,9
62345,Jaye,New York,NY,10019,United States,40.76526769,-73.98866384,Apartment,Private room,1,1,1,1,Real Bed,,$108.00 ,365,2,70,6,10,8
8315861,Jonathan,New York,NY,10014,United States,40.73512869,-74.00415648,Apartment,Entire home/apt,3,1,1,1,Real Bed,,$295.00 ,239,24,93,9,10,9
5735837,Thomas,New York,NY,10001,United States,40.74709903,-73.99470335,Apartment,Private room,5,1.5,1,3,Real Bed,,$320.00 ,365,0,,,,
7356136,Dane,New York,NY,10032,United States,40.84184975,-73.93737345,Apartment,Entire home/apt,4,1,1,1,Real Bed,,$125.00 ,359,11,98,9,9,9
1787284,Dragan,Queens,NY,11103,United States,40.75532218,-73.91603246,Apartment,Entire home/apt,4,1,2,2,Real Bed,,$99.00 ,317,100,93,9,10,10
