city,zipcode,property_type,room_type,bed_type,location_group,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,price_per_accommodation
105,2,1,1,5,11,40.71943523,-73.9862322,7.0,2.0,2.0,2.0,96.0,305.0,13.714285714285714
105,38,1,1,5,14,40.75980706,-73.99287698,4.0,1.0,3.0,3.0,250.0,358.0,62.5
33,118,1,2,5,12,40.69753844,-73.93041369,2.0,1.0,1.0,1.0,70.0,365.0,35.0
105,18,1,1,5,14,40.75374398,-73.97506188,3.0,1.0,0.0,1.0,159.0,334.0,53.0
105,37,11,2,5,14,40.80616844,-73.93867686,2.0,3.0,1.0,1.0,45.0,359.0,22.5
105,17,1,1,5,11,40.74233579,-73.98028218,2.0,1.0,1.0,1.0,199.0,267.0,99.5
33,133,1,1,5,12,40.70270853,-73.91565615,6.0,2.0,3.0,3.0,220.0,323.0,36.666666666666664
105,12,1,1,5,11,40.73883683,-73.98025785,4.0,1.0,1.0,1.0,157.0,8.0,39.25
8,96,1,1,5,15,40.76249468,-73.92729422,4.0,1.0,1.0,1.0,149.0,92.0,37.25
105,13,1,1,5,11,40.74332054,-73.98940689,4.0,2.0,2.0,2.0,850.0,92.0,212.5
33,134,1,1,5,11,40.6783836,-73.95549193,6.0,1.0,2.0,2.0,197.0,337.0,32.833333333333336
105,3,1,1,5,11,40.72424353,-73.98980615,2.0,1.0,1.0,1.0,159.0,281.0,79.5
105,3,1,1,5,11,40.72715359,-73.990074,4.0,1.0,2.0,2.0,169.0,352.0,42.25
33,108,1,1,5,11,40.71365056,-73.96690681,4.0,1.0,1.0,2.0,225.0,335.0,56.25
120,155,11,2,5,12,40.73694825,-73.92388886,2.0,1.0,1.0,1.0,58.0,364.0,29.0
33,104,1,2,5,12,40.68555139,-73.90155867,1.0,1.0,1.0,1.0,55.0,90.0,55.0
120,97,1,1,5,11,40.74461156,-73.95910394,2.0,1.0,2.0,1.0,120.0,316.0,60.0
105,95,1,1,5,15,40.777597,-73.92011463,5.0,1.0,3.0,3.0,110.0,138.0,22.0
105,3,1,1,5,11,40.72618885,-73.97730664,2.0,1.0,1.0,1.0,89.0,9.0,44.5
120,92,1,2,5,15,40.77228378,-73.9148924,2.0,1.0,1.0,1.0,68.0,365.0,34.0
33,108,1,1,5,11,40.71452323,-73.94629754,2.0,1.0,1.0,1.0,100.0,216.0,50.0
139,54,11,2,5,7,40.63131646,-74.08799089,2.0,1.5,1.0,1.0,47.0,307.0,23.5
8,96,1,2,5,15,40.76498131,-73.91951332,2.0,1.0,1.0,1.0,85.0,365.0,42.5
105,20,1,1,5,14,40.76695833,-73.98751957,2.0,1.0,0.0,1.0,175.0,310.0,87.5
33,112,1,1,5,11,40.67257778,-73.97216991,4.0,1.0,1.0,2.0,135.0,141.0,33.75
33,108,1,2,5,11,40.7114803,-73.95573261,2.0,1.0,1.0,1.0,100.0,338.0,50.0
105,16,1,2,5,11,40.73128899,-74.00464327,2.0,1.1162872739425898,1.0,1.5312889279695172,149.0,169.0,74.5
33,118,11,2,5,11,40.68695551,-73.9439092,2.0,1.0,1.0,1.0,100.0,125.0,50.0
105,18,1,2,5,14,40.75363994,-73.97186233,2.0,1.0,1.0,1.0,999.0,365.0,499.5
33,127,1,3,5,11,40.67927091,-74.01329693,4.0,1.0,1.0,1.0,95.0,365.0,23.75
105,27,1,2,5,14,40.80360175,-73.9573344,2.0,1.0,1.0,1.0,89.0,362.0,44.5
105,13,1,1,5,11,40.74142145,-74.00253787,2.0,1.0,1.0,1.0,350.0,365.0,175.0
33,108,1,2,5,11,40.71614499,-73.94458508,1.0,1.0,1.0,1.0,175.0,238.0,175.0
33,107,1,2,5,8,40.63613027,-73.94520099,5.0,1.0,1.0,3.0,135.0,313.0,27.0
33,136,1,2,5,11,40.7175051,-73.95895497,2.0,1.5,1.0,1.0,95.0,111.0,47.5
105,27,1,2,5,14,40.79740553,-73.96252739,2.0,1.0,1.0,1.0,120.0,365.0,60.0
105,1,1,1,5,11,40.74781864,-73.9939815,10.0,2.0,4.0,4.0,895.0,365.0,89.5
33,112,1,1,5,11,40.67569238,-73.9802848,4.0,1.0,2.0,3.0,165.0,289.0,41.25
